Gene stable ID	Gene stable ID version	Transcript stable ID	Transcript stable ID version	RefSeq peptide ID
ENSMUSG00000015542	ENSMUSG00000015542.18	ENSMUST00000103040	ENSMUST00000103040.11	NP_079676
ENSMUSG00000015542	ENSMUSG00000015542.18	ENSMUST00000103040	ENSMUST00000103040.11	NP_001349819
ENSMUSG00000015542	ENSMUSG00000015542.18	ENSMUST00000103040	ENSMUST00000103040.11	NP_001349820
ENSMUSG00000015542	ENSMUSG00000015542.18	ENSMUST00000103041	ENSMUST00000103041.8	NP_001349818
ENSMUSG00000015542	ENSMUSG00000015542.18	ENSMUST00000103041	ENSMUST00000103041.8	NP_001349821
ENSMUSG00000034586	ENSMUSG00000034586.15	ENSMUST00000106542	ENSMUST00000106542.9	NP_780663
ENSMUSG00000034586	ENSMUSG00000034586.15	ENSMUST00000044152	ENSMUST00000044152.13	NP_001333703
ENSMUSG00000018858	ENSMUSG00000018858.16	ENSMUST00000153983	ENSMUST00000153983.8	NP_001334574
ENSMUSG00000018858	ENSMUSG00000018858.16	ENSMUST00000103036	ENSMUST00000103036.5	NP_081005
ENSMUSG00000018858	ENSMUSG00000018858.16	ENSMUST00000103036	ENSMUST00000103036.5	NP_001348392
ENSMUSG00000018858	ENSMUSG00000018858.16	ENSMUST00000106539	ENSMUST00000106539.10	NP_001348391
ENSMUSG00000034566	ENSMUSG00000034566.11	ENSMUST00000043931	ENSMUST00000043931.9	NP_082138
ENSMUSG00000045775	ENSMUSG00000045775.16	ENSMUST00000106532	ENSMUST00000106532.4	NP_001346537
ENSMUSG00000045775	ENSMUSG00000045775.16	ENSMUST00000092445	ENSMUST00000092445.12	NP_001074403
ENSMUSG00000045775	ENSMUSG00000045775.16	ENSMUST00000092445	ENSMUST00000092445.12	NP_001346535
ENSMUSG00000020738	ENSMUSG00000020738.17	ENSMUST00000153892	ENSMUST00000153892.2	NP_579932
ENSMUSG00000020739	ENSMUSG00000020739.12	ENSMUST00000021085	ENSMUST00000021085.11	NP_001002929
ENSMUSG00000020740	ENSMUSG00000020740.14	ENSMUST00000019135	ENSMUST00000019135.14	NP_766636
ENSMUSG00000020740	ENSMUSG00000020740.14	ENSMUST00000106508	ENSMUST00000106508.10	NP_001238996
ENSMUSG00000020743	ENSMUSG00000020743.16	ENSMUST00000106507	ENSMUST00000106507.9	NP_081438
ENSMUSG00000020743	ENSMUSG00000020743.16	ENSMUST00000021087	ENSMUST00000021087.14	NP_001230513
ENSMUSG00000020743	ENSMUSG00000020743.16	ENSMUST00000106506	ENSMUST00000106506.8	NP_001230515
ENSMUSG00000020743	ENSMUSG00000020743.16	ENSMUST00000106506	ENSMUST00000106506.8	NP_001230516
ENSMUSG00000020744	ENSMUSG00000020744.14	ENSMUST00000021089	ENSMUST00000021089.11	NP_080347
ENSMUSG00000020744	ENSMUSG00000020744.14	ENSMUST00000021089	ENSMUST00000021089.11	NP_001239325
ENSMUSG00000020744	ENSMUSG00000020744.14	ENSMUST00000106503	ENSMUST00000106503.10	NP_001239323
ENSMUSG00000020744	ENSMUSG00000020744.14	ENSMUST00000135552	ENSMUST00000135552.2	NP_001239324
ENSMUSG00000020744	ENSMUSG00000020744.14	ENSMUST00000178003	ENSMUST00000178003.8	NP_001239313
ENSMUSG00000020747	ENSMUSG00000020747.19	ENSMUST00000093912	ENSMUST00000093912.11	NP_082290
ENSMUSG00000020781	ENSMUSG00000020781.15	ENSMUST00000021134	ENSMUST00000021134.10	NP_083833
ENSMUSG00000020782	ENSMUSG00000020782.19	ENSMUST00000103032	ENSMUST00000103032.11	NP_663413
ENSMUSG00000020782	ENSMUSG00000020782.19	ENSMUST00000177736	ENSMUST00000177736.8	NP_001239461
ENSMUSG00000034427	ENSMUSG00000034427.18	ENSMUST00000093911	ENSMUST00000093911.11	NP_001371162
ENSMUSG00000020752	ENSMUSG00000020752.12	ENSMUST00000021097	ENSMUST00000021097.10	NP_569721
ENSMUSG00000020758	ENSMUSG00000020758.16	ENSMUST00000068981	ENSMUST00000068981.13	NP_598424
ENSMUSG00000020758	ENSMUSG00000020758.16	ENSMUST00000169928	ENSMUST00000169928.8	NP_001005608
ENSMUSG00000020770	ENSMUSG00000020770.14	ENSMUST00000021116	ENSMUST00000021116.12	NP_766157
ENSMUSG00000020770	ENSMUSG00000020770.14	ENSMUST00000106452	ENSMUST00000106452.2	NP_001272935
ENSMUSG00000057948	ENSMUSG00000057948.13	ENSMUST00000075036	ENSMUST00000075036.9	NP_001009573
ENSMUSG00000020773	ENSMUSG00000020773.12	ENSMUST00000106441	ENSMUST00000106441.8	NP_766158
ENSMUSG00000020773	ENSMUSG00000020773.12	ENSMUST00000021120	ENSMUST00000021120.6	NP_001192010
ENSMUSG00000020776	ENSMUSG00000020776.19	ENSMUST00000103031	ENSMUST00000103031.8	NP_766159
ENSMUSG00000020776	ENSMUSG00000020776.19	ENSMUST00000103031	ENSMUST00000103031.8	NP_001351006
ENSMUSG00000020776	ENSMUSG00000020776.19	ENSMUST00000103031	ENSMUST00000103031.8	NP_001351007
ENSMUSG00000020776	ENSMUSG00000020776.19	ENSMUST00000103031	ENSMUST00000103031.8	NP_001351008
ENSMUSG00000020777	ENSMUSG00000020777.17	ENSMUST00000066587	ENSMUST00000066587.12	NP_056544
ENSMUSG00000020777	ENSMUSG00000020777.17	ENSMUST00000072948	ENSMUST00000072948.11	NP_001258827
ENSMUSG00000020777	ENSMUSG00000020777.17	ENSMUST00000072948	ENSMUST00000072948.11	NP_001364451
ENSMUSG00000020777	ENSMUSG00000020777.17	ENSMUST00000148601	ENSMUST00000148601.2	NP_001364450
ENSMUSG00000020792	ENSMUSG00000020792.16	ENSMUST00000106411	ENSMUST00000106411.10	NP_001156344
ENSMUSG00000020792	ENSMUSG00000020792.16	ENSMUST00000106411	ENSMUST00000106411.10	NP_001365890
ENSMUSG00000020792	ENSMUSG00000020792.16	ENSMUST00000106413	ENSMUST00000106413.10	NP_001334565
ENSMUSG00000020792	ENSMUSG00000020792.16	ENSMUST00000106413	ENSMUST00000106413.10	NP_001365889
ENSMUSG00000020792	ENSMUSG00000020792.16	ENSMUST00000021147	ENSMUST00000021147.14	NP_058553
ENSMUSG00000020792	ENSMUSG00000020792.16	ENSMUST00000021147	ENSMUST00000021147.14	NP_001349768
ENSMUSG00000020792	ENSMUSG00000020792.16	ENSMUST00000021147	ENSMUST00000021147.14	NP_001349767
ENSMUSG00000052949	ENSMUSG00000052949.15	ENSMUST00000100202	ENSMUST00000100202.10	NP_081534
ENSMUSG00000015869	ENSMUSG00000015869.17	ENSMUST00000106391	ENSMUST00000106391.8	NP_080640
ENSMUSG00000061878	ENSMUSG00000061878.17	ENSMUST00000106388	ENSMUST00000106388.9	NP_001359413
ENSMUSG00000061878	ENSMUSG00000061878.17	ENSMUST00000106387	ENSMUST00000106387.9	NP_001359415
ENSMUSG00000061878	ENSMUSG00000061878.17	ENSMUST00000100201	ENSMUST00000100201.10	NP_001359418
ENSMUSG00000061878	ENSMUSG00000061878.17	ENSMUST00000100201	ENSMUST00000100201.10	NP_001359417
ENSMUSG00000061878	ENSMUSG00000061878.17	ENSMUST00000100201	ENSMUST00000100201.10	NP_001165946
ENSMUSG00000061878	ENSMUSG00000061878.17	ENSMUST00000106386	ENSMUST00000106386.8	NP_001165943
ENSMUSG00000061878	ENSMUSG00000061878.17	ENSMUST00000106386	ENSMUST00000106386.8	NP_001165944
ENSMUSG00000061878	ENSMUSG00000061878.17	ENSMUST00000063446	ENSMUST00000063446.13	NP_079643
ENSMUSG00000061878	ENSMUSG00000061878.17	ENSMUST00000141798	ENSMUST00000141798.4	NP_001359414
ENSMUSG00000061878	ENSMUSG00000061878.17	ENSMUST00000141798	ENSMUST00000141798.4	NP_001359416
ENSMUSG00000056962	ENSMUSG00000056962.12	ENSMUST00000047616	ENSMUST00000047616.10	NP_203971
ENSMUSG00000056962	ENSMUSG00000056962.12	ENSMUST00000047616	ENSMUST00000047616.10	NP_001350292
ENSMUSG00000090266	ENSMUSG00000090266.11	ENSMUST00000106370	ENSMUST00000106370.10	NP_083141
ENSMUSG00000020818	ENSMUSG00000020818.17	ENSMUST00000021173	ENSMUST00000021173.14	NP_848735
ENSMUSG00000020818	ENSMUSG00000020818.17	ENSMUST00000153084	ENSMUST00000153084.3	NP_001348515
ENSMUSG00000020818	ENSMUSG00000020818.17	ENSMUST00000153084	ENSMUST00000153084.3	NP_001348516
ENSMUSG00000020818	ENSMUSG00000020818.17	ENSMUST00000153084	ENSMUST00000153084.3	NP_001348514
ENSMUSG00000059248	ENSMUSG00000059248.14	ENSMUST00000093907	ENSMUST00000093907.11	NP_001106958
ENSMUSG00000059248	ENSMUSG00000059248.14	ENSMUST00000019038	ENSMUST00000019038.15	NP_001106959
ENSMUSG00000059248	ENSMUSG00000059248.14	ENSMUST00000100193	ENSMUST00000100193.8	NP_059076
ENSMUSG00000059248	ENSMUSG00000059248.14	ENSMUST00000106349	ENSMUST00000106349.2	NP_001106960
ENSMUSG00000025572	ENSMUSG00000025572.19	ENSMUST00000026659	ENSMUST00000026659.10	NP_663414
ENSMUSG00000048277	ENSMUSG00000048277.16	ENSMUST00000026649	ENSMUST00000026649.14	NP_033330
ENSMUSG00000025574	ENSMUSG00000025574.14	ENSMUST00000026661	ENSMUST00000026661.4	NP_033413
ENSMUSG00000025574	ENSMUSG00000025574.14	ENSMUST00000026661	ENSMUST00000026661.4	NP_001258658
ENSMUSG00000017132	ENSMUSG00000017132.18	ENSMUST00000017276	ENSMUST00000017276.14	NP_001106169
ENSMUSG00000017132	ENSMUSG00000017132.18	ENSMUST00000017276	ENSMUST00000017276.14	NP_001365816
ENSMUSG00000017132	ENSMUSG00000017132.18	ENSMUST00000017276	ENSMUST00000017276.14	NP_001365815
ENSMUSG00000017132	ENSMUSG00000017132.18	ENSMUST00000017276	ENSMUST00000017276.14	NP_035310
ENSMUSG00000017132	ENSMUSG00000017132.18	ENSMUST00000106302	ENSMUST00000106302.9	NP_001106170
ENSMUSG00000017132	ENSMUSG00000017132.18	ENSMUST00000106302	ENSMUST00000106302.9	NP_001365814
ENSMUSG00000033857	ENSMUSG00000033857.13	ENSMUST00000135383	ENSMUST00000135383.9	NP_766161
ENSMUSG00000033857	ENSMUSG00000033857.13	ENSMUST00000135383	ENSMUST00000135383.9	NP_001346297
ENSMUSG00000025576	ENSMUSG00000025576.18	ENSMUST00000117731	ENSMUST00000117731.8	NP_001272365
ENSMUSG00000025576	ENSMUSG00000025576.18	ENSMUST00000103023	ENSMUST00000103023.8	NP_001272367
ENSMUSG00000025576	ENSMUSG00000025576.18	ENSMUST00000017576	ENSMUST00000017576.11	NP_001034256
ENSMUSG00000025576	ENSMUSG00000025576.18	ENSMUST00000069343	ENSMUST00000069343.12	NP_001272366
ENSMUSG00000025576	ENSMUSG00000025576.18	ENSMUST00000106278	ENSMUST00000106278.9	NP_001020102
ENSMUSG00000025576	ENSMUSG00000025576.18	ENSMUST00000120061	ENSMUST00000120061.8	NP_001034257
ENSMUSG00000039963	ENSMUSG00000039963.21	ENSMUST00000236813	ENSMUST00000236813.2	NP_001351696
ENSMUSG00000025579	ENSMUSG00000025579.15	ENSMUST00000106259	ENSMUST00000106259.9	NP_032090
ENSMUSG00000025579	ENSMUSG00000025579.15	ENSMUST00000026666	ENSMUST00000026666.13	NP_001152796
ENSMUSG00000039850	ENSMUSG00000039850.17	ENSMUST00000106244	ENSMUST00000106244.9	NP_001158108
ENSMUSG00000039850	ENSMUSG00000039850.17	ENSMUST00000106245	ENSMUST00000106245.9	NP_796368
ENSMUSG00000025583	ENSMUSG00000025583.16	ENSMUST00000026671	ENSMUST00000026671.13	NP_083174
ENSMUSG00000025583	ENSMUSG00000025583.16	ENSMUST00000026671	ENSMUST00000026671.13	NP_001293010
ENSMUSG00000025372	ENSMUSG00000025372.17	ENSMUST00000026436	ENSMUST00000026436.10	NP_001032844
ENSMUSG00000025372	ENSMUSG00000025372.17	ENSMUST00000075180	ENSMUST00000075180.12	NP_570932
ENSMUSG00000025372	ENSMUSG00000025372.17	ENSMUST00000103021	ENSMUST00000103021.10	NP_001032843
ENSMUSG00000025375	ENSMUSG00000025375.16	ENSMUST00000064307	ENSMUST00000064307.10	NP_001185714
ENSMUSG00000025375	ENSMUSG00000025375.16	ENSMUST00000103019	ENSMUST00000103019.2	NP_001185716
ENSMUSG00000025375	ENSMUSG00000025375.16	ENSMUST00000103019	ENSMUST00000103019.2	NP_001364432
ENSMUSG00000025375	ENSMUSG00000025375.16	ENSMUST00000103020	ENSMUST00000103020.8	NP_031403
ENSMUSG00000039781	ENSMUSG00000039781.15	ENSMUST00000106227	ENSMUST00000106227.8	NP_033864
ENSMUSG00000061306	ENSMUSG00000061306.17	ENSMUST00000103018	ENSMUST00000103018.11	NP_077211
ENSMUSG00000061306	ENSMUSG00000061306.17	ENSMUST00000103018	ENSMUST00000103018.11	NP_001348628
ENSMUSG00000061306	ENSMUSG00000061306.17	ENSMUST00000103018	ENSMUST00000103018.11	NP_001348625
ENSMUSG00000061306	ENSMUSG00000061306.17	ENSMUST00000103018	ENSMUST00000103018.11	NP_001348627
ENSMUSG00000061306	ENSMUSG00000061306.17	ENSMUST00000103018	ENSMUST00000103018.11	NP_001348626
ENSMUSG00000061306	ENSMUSG00000061306.17	ENSMUST00000103018	ENSMUST00000103018.11	NP_001158270
ENSMUSG00000061306	ENSMUSG00000061306.17	ENSMUST00000045402	ENSMUST00000045402.14	NP_001158271
ENSMUSG00000061306	ENSMUSG00000061306.17	ENSMUST00000045402	ENSMUST00000045402.14	NP_001158272
ENSMUSG00000061306	ENSMUSG00000061306.17	ENSMUST00000076697	ENSMUST00000076697.13	NP_001158274
ENSMUSG00000061306	ENSMUSG00000061306.17	ENSMUST00000053692	ENSMUST00000053692.9	NP_001158273
ENSMUSG00000062825	ENSMUSG00000062825.16	ENSMUST00000071555	ENSMUST00000071555.13	NP_033739
ENSMUSG00000062825	ENSMUSG00000062825.16	ENSMUST00000089616	ENSMUST00000089616.6	NP_001300852
ENSMUSG00000025384	ENSMUSG00000025384.16	ENSMUST00000026448	ENSMUST00000026448.10	NP_082256
ENSMUSG00000049957	ENSMUSG00000049957.15	ENSMUST00000058370	ENSMUST00000058370.14	NP_690020
ENSMUSG00000057594	ENSMUSG00000057594.13	ENSMUST00000076921	ENSMUST00000076921.7	NP_932112
ENSMUSG00000025137	ENSMUSG00000025137.16	ENSMUST00000026129	ENSMUST00000026129.16	NP_077191
ENSMUSG00000025137	ENSMUSG00000025137.16	ENSMUST00000026129	ENSMUST00000026129.16	NP_001349930
ENSMUSG00000025137	ENSMUSG00000025137.16	ENSMUST00000106188	ENSMUST00000106188.4	NP_001334544
ENSMUSG00000025138	ENSMUSG00000025138.15	ENSMUST00000080202	ENSMUST00000080202.12	NP_694696
ENSMUSG00000025138	ENSMUSG00000025138.15	ENSMUST00000080202	ENSMUST00000080202.12	NP_001350368
ENSMUSG00000025142	ENSMUSG00000025142.19	ENSMUST00000026135	ENSMUST00000026135.15	NP_081153
ENSMUSG00000025142	ENSMUSG00000025142.19	ENSMUST00000026135	ENSMUST00000026135.15	NP_001349984
ENSMUSG00000025142	ENSMUSG00000025142.19	ENSMUST00000026135	ENSMUST00000026135.15	NP_001349985
ENSMUSG00000025142	ENSMUSG00000025142.19	ENSMUST00000106160	ENSMUST00000106160.9	NP_001157696
ENSMUSG00000025142	ENSMUSG00000025142.19	ENSMUST00000106159	ENSMUST00000106159.10	NP_937866
ENSMUSG00000025156	ENSMUSG00000025156.18	ENSMUST00000100134	ENSMUST00000100134.10	NP_001333638
ENSMUSG00000025156	ENSMUSG00000025156.18	ENSMUST00000208737	ENSMUST00000208737.2	NP_001350369
ENSMUSG00000025156	ENSMUSG00000025156.18	ENSMUST00000116305	ENSMUST00000116305.8	NP_001171345
ENSMUSG00000025156	ENSMUSG00000025156.18	ENSMUST00000172809	ENSMUST00000172809.2	NP_663345
ENSMUSG00000025155	ENSMUSG00000025155.16	ENSMUST00000167023	ENSMUST00000167023.8	NP_081100
ENSMUSG00000025161	ENSMUSG00000025161.17	ENSMUST00000070653	ENSMUST00000070653.13	NP_109621
ENSMUSG00000025161	ENSMUSG00000025161.17	ENSMUST00000168579	ENSMUST00000168579.8	NP_001033742
ENSMUSG00000025161	ENSMUSG00000025161.17	ENSMUST00000100130	ENSMUST00000100130.10	NP_001033743
ENSMUSG00000025162	ENSMUSG00000025162.19	ENSMUST00000070575	ENSMUST00000070575.14	NP_082150
ENSMUSG00000025162	ENSMUSG00000025162.19	ENSMUST00000018274	ENSMUST00000018274.10	NP_620690
ENSMUSG00000039364	ENSMUSG00000039364.14	ENSMUST00000039309	ENSMUST00000039309.12	NP_081183
ENSMUSG00000039307	ENSMUSG00000039307.17	ENSMUST00000106117	ENSMUST00000106117.8	NP_001001333
ENSMUSG00000039307	ENSMUSG00000039307.17	ENSMUST00000151495	ENSMUST00000151495.8	NP_001139545
ENSMUSG00000039294	ENSMUSG00000039294.15	ENSMUST00000106115	ENSMUST00000106115.8	NP_001239478
ENSMUSG00000039294	ENSMUSG00000039294.15	ENSMUST00000106115	ENSMUST00000106115.8	NP_001241664
ENSMUSG00000039294	ENSMUSG00000039294.15	ENSMUST00000038709	ENSMUST00000038709.14	NP_659081
ENSMUSG00000039294	ENSMUSG00000039294.15	ENSMUST00000038709	ENSMUST00000038709.14	NP_001239477
ENSMUSG00000039294	ENSMUSG00000039294.15	ENSMUST00000169393	ENSMUST00000169393.8	NP_001239479
ENSMUSG00000039230	ENSMUSG00000039230.15	ENSMUST00000103013	ENSMUST00000103013.10	NP_084154
